term,code,reference,see_also,type,indent_level
forced landing,V96.12,,,code,0
specified type NEC,V96.19,,,code,0
specified craft NEC,V96.8,,,code,0
powered craft accident,V95.9,,,code,0
commercial,V95.30,,,code,0
collision,V95.33,,,code,0
crash,V95.31,,,code,0
explosion,V95.35,,,code,0
fire,V95.34,,,code,0
forced landing,V95.32,,,code,0
specified type NEC,V95.39,,,code,0
private,V95.20,,,code,0
collision,V95.23,,,code,0
crash,V95.21,,,code,0
explosion,V95.25,,,code,0
fire,V95.24,,,code,0
forced landing,V95.22,,,code,0
specified type NEC,V95.29,,,code,0
glider,V95.10,,,code,0
collision,V95.13,,,code,0
crash,V95.11,,,code,0
explosion,V95.15,,,code,0
fire,V95.14,,,code,0
forced landing,V95.12,,,code,0
specified type NEC,V95.19,,,code,0
helicopter,V95.00,,,code,0
collision,V95.03,,,code,0
crash,V95.01,,,code,0
explosion,V95.05,,,code,0
fire,V95.04,,,code,0
forced landing,V95.02,,,code,0
specified type NEC,V95.09,,,code,0
spacecraft,V95.40,,,code,0
collision,V95.43,,,code,0
crash,V95.41,,,code,0
explosion,V95.45,,,code,0
fire,V95.44,,,code,0
forced landing,V95.42,,,code,0
specified type NEC,V95.49,,,code,0
specified craft NEC,V95.8,,,code,0
ultralight,V95.10,,,code,0
collision,V95.13,,,code,0
crash,V95.11,,,code,0
explosion,V95.15,,,code,0
fire,V95.14,,,code,0
forced landing,V95.12,,,code,0
specified type NEC,V95.19,,,code,0
specified accident NEC,V97.0,,,code,0
while boarding or alighting,V97.1,,,code,0
"falling from, in or on aircraft",V97.0,,,code,0
machinery on aircraft,V97.89,,,code,0
on ground with aircraft involvement,V97.39,,,code,0
rotating propeller,V97.32,,,code,0
struck by object falling from aircraft,V97.31,,,code,0
sucked into aircraft jet,V97.33,,,code,0
while boarding or alighting aircraft,V97.1,,,code,0
airport (battery-powered) passenger vehicle,,"Accident, transport, industrial vehicle occupant",,see,0
all-terrain vehicle occupant (nontraffic),V86.95,,,code,0
driver,V86.55,,,code,0
dune buggy,,"Accident, transport, dune buggy occupant",,see,0
hanger-on,V86.75,,,code,0
passenger,V86.65,,,code,0
snowmobile,,"Accident, transport, snowmobile occupant",,see,0
specified type NEC,V86.99,,,code,0
driver,V86.59,,,code,0
passenger,V86.69,,,code,0
person on outside,V86.79,,,code,0
traffic,V86.35,,,code,0
driver,V86.05,,,code,0
hanger-on,V86.25,,,code,0
passenger,V86.15,,,code,0
while boarding or alighting,V86.45,,,code,0
ambulance occupant (traffic),V86.31,,,code,0
driver,V86.01,,,code,0
hanger-on,V86.21,,,code,0
nontraffic,V86.91,,,code,0
driver,V86.51,,,code,0
hanger-on,V86.71,,,code,0
passenger,V86.61,,,code,0
passenger,V86.11,,,code,0
while boarding or alighting,V86.41,,,code,0
animal-drawn vehicle occupant (in),V80.929,,,code,0
animal,V80.12,,,code,0
being ridden,V80.711,,,code,0
animal-drawn vehicle,V80.721,,,code,0
bus,V80.42,,,code,0
car,V80.42,,,code,0
fixed or stationary object,V80.82,,,code,0
military vehicle,V80.920,,,code,0
nonmotor vehicle,V80.791,,,code,0
pedal cycle,V80.22,,,code,0
pedestrian,V80.12,,,code,0
pickup,V80.42,,,code,0
railway train or vehicle,V80.62,,,code,0
specified motor vehicle NEC,V80.52,,,code,0
streetcar,V80.731,,,code,0
truck,V80.42,,,code,0
two- or three-wheeled motor vehicle,V80.32,,,code,0
van,V80.42,,,code,0
noncollision,V80.02,,,code,0
specified circumstance NEC,V80.928,,,code,0
animal-rider,V80.919,,,code,0
animal,V80.11,,,code,0
being ridden,V80.710,,,code,0
animal-drawn vehicle,V80.720,,,code,0
bus,V80.41,,,code,0
car,V80.41,,,code,0
fixed or stationary object,V80.81,,,code,0
military vehicle,V80.910,,,code,0
nonmotor vehicle,V80.790,,,code,0
pedal cycle,V80.21,,,code,0
pedestrian,V80.11,,,code,0
pickup,V80.41,,,code,0
railway train or vehicle,V80.61,,,code,0
specified motor vehicle NEC,V80.51,,,code,0
streetcar,V80.730,,,code,0
truck,V80.41,,,code,0
two- or three-wheeled motor vehicle,V80.31,,,code,0
van,V80.41,,,code,0
noncollision,V80.018,,,code,0
specified as horse rider,V80.010,,,code,0
specified circumstance NEC,V80.918,,,code,0
armored car,,"Accident, transport, truck occupant",,see,0
battery-powered truck (baggage) (mail),,"Accident, transport, industrial vehicle occupant",,see,0
bus occupant,V79.9,,,code,0
animal (traffic),V70.9,,,code,0
being ridden (traffic),V76.9,,,code,0
nontraffic,V76.3,,,code,0
while boarding or alighting,V76.4,,,code,0
nontraffic,V70.3,,,code,0
while boarding or alighting,V70.4,,,code,0
animal-drawn vehicle (traffic),V76.9,,,code,0
nontraffic,V76.3,,,code,0
while boarding or alighting,V76.4,,,code,0
bus (traffic),V74.9,,,code,0
nontraffic,V74.3,,,code,0
while boarding or alighting,V74.4,,,code,0
car (traffic),V73.9,,,code,0
nontraffic,V73.3,,,code,0
while boarding or alighting,V73.4,,,code,0
motor vehicle NOS (traffic),V79.60,,,code,0
nontraffic,V79.20,,,code,0
specified type NEC (traffic),V79.69,,,code,0
nontraffic,V79.29,,,code,0
pedal cycle (traffic),V71.9,,,code,0
nontraffic,V71.3,,,code,0
while boarding or alighting,V71.4,,,code,0
pickup truck (traffic),V73.9,,,code,0
nontraffic,V73.3,,,code,0
while boarding or alighting,V73.4,,,code,0
railway vehicle (traffic),V75.9,,,code,0
nontraffic,V75.3,,,code,0
while boarding or alighting,V75.4,,,code,0
specified vehicle NEC (traffic),V76.9,,,code,0
nontraffic,V76.3,,,code,0
while boarding or alighting,V76.4,,,code,0
stationary object (traffic),V77.9,,,code,0
nontraffic,V77.3,,,code,0
while boarding or alighting,V77.4,,,code,0
streetcar (traffic),V76.9,,,code,0
nontraffic,V76.3,,,code,0
while boarding or alighting,V76.4,,,code,0
three wheeled motor vehicle (traffic),V72.9,,,code,0
nontraffic,V72.3,,,code,0
while boarding or alighting,V72.4,,,code,0
truck (traffic),V74.9,,,code,0
nontraffic,V74.3,,,code,0
while boarding or alighting,V74.4,,,code,0
two wheeled motor vehicle (traffic),V72.9,,,code,0
nontraffic,V72.3,,,code,0
while boarding or alighting,V72.4,,,code,0
van (traffic),V73.9,,,code,0
nontraffic,V73.3,,,code,0
while boarding or alighting,V73.4,,,code,0
animal (traffic),V70.5,,,code,0
being ridden (traffic),V76.5,,,code,0
nontraffic,V76.0,,,code,0
nontraffic,V70.0,,,code,0
animal-drawn vehicle (traffic),V76.5,,,code,0
nontraffic,V76.0,,,code,0
bus (traffic),V74.5,,,code,0
nontraffic,V74.0,,,code,0
car (traffic),V73.5,,,code,0
nontraffic,V73.0,,,code,0
motor vehicle NOS (traffic),V79.40,,,code,0
nontraffic,V79.00,,,code,0
specified type NEC (traffic),V79.49,,,code,0
nontraffic,V79.09,,,code,0
pedal cycle (traffic),V71.5,,,code,0
nontraffic,V71.0,,,code,0
pickup truck (traffic),V73.5,,,code,0
nontraffic,V73.0,,,code,0
railway vehicle (traffic),V75.5,,,code,0
nontraffic,V75.0,,,code,0
specified vehicle NEC (traffic),V76.5,,,code,0
nontraffic,V76.0,,,code,0
stationary object (traffic),V77.5,,,code,0
nontraffic,V77.0,,,code,0
streetcar (traffic),V76.5,,,code,0
nontraffic,V76.0,,,code,0
three wheeled motor vehicle (traffic),V72.5,,,code,0
nontraffic,V72.0,,,code,0
truck (traffic),V74.5,,,code,0
nontraffic,V74.0,,,code,0
two wheeled motor vehicle (traffic),V72.5,,,code,0
nontraffic,V72.0,,,code,0
van (traffic),V73.5,,,code,0
nontraffic,V73.0,,,code,0
noncollision accident (traffic),V78.5,,,code,0
nontraffic,V78.0,,,code,0
noncollision accident (traffic),V78.9,,,code,0
nontraffic,V78.3,,,code,0
while boarding or alighting,V78.4,,,code,0
nontraffic,V79.3,,,code,0
animal (traffic),V70.7,,,code,0
being ridden (traffic),V76.7,,,code,0
nontraffic,V76.2,,,code,0
nontraffic,V70.2,,,code,0
animal-drawn vehicle (traffic),V76.7,,,code,0
nontraffic,V76.2,,,code,0
bus (traffic),V74.7,,,code,0
nontraffic,V74.2,,,code,0
car (traffic),V73.7,,,code,0
nontraffic,V73.2,,,code,0
pedal cycle (traffic),V71.7,,,code,0
nontraffic,V71.2,,,code,0
pickup truck (traffic),V73.7,,,code,0
nontraffic,V73.2,,,code,0
railway vehicle (traffic),V75.7,,,code,0
nontraffic,V75.2,,,code,0
specified vehicle NEC (traffic),V76.7,,,code,0
nontraffic,V76.2,,,code,0
stationary object (traffic),V77.7,,,code,0
nontraffic,V77.2,,,code,0
streetcar (traffic),V76.7,,,code,0
nontraffic,V76.2,,,code,0
three wheeled motor vehicle (traffic),V72.7,,,code,0
nontraffic,V72.2,,,code,0
truck (traffic),V74.7,,,code,0
nontraffic,V74.2,,,code,0
two wheeled motor vehicle (traffic),V72.7,,,code,0
nontraffic,V72.2,,,code,0
van (traffic),V73.7,,,code,0
nontraffic,V73.2,,,code,0
noncollision accident (traffic),V78.7,,,code,0
nontraffic,V78.2,,,code,0
animal (traffic),V70.6,,,code,0
being ridden (traffic),V76.6,,,code,0
nontraffic,V76.1,,,code,0
nontraffic,V70.1,,,code,0
animal-drawn vehicle (traffic),V76.6,,,code,0
nontraffic,V76.1,,,code,0
bus (traffic),V74.6,,,code,0
nontraffic,V74.1,,,code,0
car (traffic),V73.6,,,code,0
nontraffic,V73.1,,,code,0
motor vehicle NOS (traffic),V79.50,,,code,0
nontraffic,V79.10,,,code,0
specified type NEC (traffic),V79.59,,,code,0
nontraffic,V79.19,,,code,0
pedal cycle (traffic),V71.6,,,code,0
nontraffic,V71.1,,,code,0
pickup truck (traffic),V73.6,,,code,0
nontraffic,V73.1,,,code,0
railway vehicle (traffic),V75.6,,,code,0
nontraffic,V75.1,,,code,0
specified vehicle NEC (traffic),V76.6,,,code,0
nontraffic,V76.1,,,code,0
stationary object (traffic),V77.6,,,code,0
nontraffic,V77.1,,,code,0
streetcar (traffic),V76.6,,,code,0
nontraffic,V76.1,,,code,0
three wheeled motor vehicle (traffic),V72.6,,,code,0
nontraffic,V72.1,,,code,0
truck (traffic),V74.6,,,code,0
nontraffic,V74.1,,,code,0
two wheeled motor vehicle (traffic),V72.6,,,code,0
nontraffic,V72.1,,,code,0
van (traffic),V73.6,,,code,0
nontraffic,V73.1,,,code,0
noncollision accident (traffic),V78.6,,,code,0
nontraffic,V78.1,,,code,0
specified type NEC,V79.88,,,code,0
military vehicle,V79.81,,,code,0
"cable car, not on rails",V98.0,,,code,0
on rails,,"Accident, transport, streetcar occupant",,see,0
car occupant,V49.9,,,code,0
ambulance occupant,,"Accident, transport, ambulance occupant",,see,0
animal (traffic),V40.9,,,code,0
being ridden (traffic),V46.9,,,code,0
nontraffic,V46.3,,,code,0
while boarding or alighting,V46.4,,,code,0
nontraffic,V40.3,,,code,0
while boarding or alighting,V40.4,,,code,0
animal-drawn vehicle (traffic),V46.9,,,code,0
nontraffic,V46.3,,,code,0
while boarding or alighting,V46.4,,,code,0
bus (traffic),V44.9,,,code,0
nontraffic,V44.3,,,code,0
while boarding or alighting,V44.4,,,code,0
car (traffic),V43.92,,,code,0
nontraffic,V43.32,,,code,0
while boarding or alighting,V43.42,,,code,0
motor vehicle NOS (traffic),V49.60,,,code,0
nontraffic,V49.20,,,code,0
specified type NEC (traffic),V49.69,,,code,0
nontraffic,V49.29,,,code,0
pedal cycle (traffic),V41.9,,,code,0
nontraffic,V41.3,,,code,0
while boarding or alighting,V41.4,,,code,0
pickup truck (traffic),V43.93,,,code,0
nontraffic,V43.33,,,code,0
while boarding or alighting,V43.43,,,code,0
railway vehicle (traffic),V45.9,,,code,0
nontraffic,V45.3,,,code,0
while boarding or alighting,V45.4,,,code,0
specified vehicle NEC (traffic),V46.9,,,code,0
nontraffic,V46.3,,,code,0
while boarding or alighting,V46.4,,,code,0
sport utility vehicle (traffic),V43.91,,,code,0
nontraffic,V43.31,,,code,0
while boarding or alighting,V43.41,,,code,0
stationary object (traffic),V47.9,,,code,0
nontraffic,V47.3,,,code,0
while boarding or alighting,V47.4,,,code,0
streetcar (traffic),V46.9,,,code,0
nontraffic,V46.3,,,code,0
while boarding or alighting,V46.4,,,code,0
three wheeled motor vehicle (traffic),V42.9,,,code,0
nontraffic,V42.3,,,code,0
while boarding or alighting,V42.4,,,code,0
truck (traffic),V44.9,,,code,0
nontraffic,V44.3,,,code,0
while boarding or alighting,V44.4,,,code,0
two wheeled motor vehicle (traffic),V42.9,,,code,0
nontraffic,V42.3,,,code,0
while boarding or alighting,V42.4,,,code,0
van (traffic),V43.94,,,code,0
nontraffic,V43.34,,,code,0
while boarding or alighting,V43.44,,,code,0
animal (traffic),V40.5,,,code,0
being ridden (traffic),V46.5,,,code,0
nontraffic,V46.0,,,code,0
nontraffic,V40.0,,,code,0
animal-drawn vehicle (traffic),V46.5,,,code,0
nontraffic,V46.0,,,code,0
bus (traffic),V44.5,,,code,0
nontraffic,V44.0,,,code,0
car (traffic),V43.52,,,code,0
nontraffic,V43.02,,,code,0
motor vehicle NOS (traffic),V49.40,,,code,0
nontraffic,V49.00,,,code,0
specified type NEC (traffic),V49.49,,,code,0
nontraffic,V49.09,,,code,0
pedal cycle (traffic),V41.5,,,code,0
nontraffic,V41.0,,,code,0
pickup truck (traffic),V43.53,,,code,0
nontraffic,V43.03,,,code,0
railway vehicle (traffic),V45.5,,,code,0
nontraffic,V45.0,,,code,0
specified vehicle NEC (traffic),V46.5,,,code,0
nontraffic,V46.0,,,code,0
sport utility vehicle (traffic),V43.51,,,code,0
nontraffic,V43.01,,,code,0
stationary object (traffic),V47.5,,,code,0
nontraffic,V47.0,,,code,0
streetcar (traffic),V46.5,,,code,0
nontraffic,V46.0,,,code,0
three wheeled motor vehicle (traffic),V42.5,,,code,0
nontraffic,V42.0,,,code,0
truck (traffic),V44.5,,,code,0
nontraffic,V44.0,,,code,0
two wheeled motor vehicle (traffic),V42.5,,,code,0
nontraffic,V42.0,,,code,0
van (traffic),V43.54,,,code,0
nontraffic,V43.04,,,code,0
noncollision accident (traffic),V48.5,,,code,0
nontraffic,V48.0,,,code,0
noncollision accident (traffic),V48.9,,,code,0
nontraffic,V48.3,,,code,0
while boarding or alighting,V48.4,,,code,0
nontraffic,V49.3,,,code,0
animal (traffic),V40.7,,,code,0
being ridden (traffic),V46.7,,,code,0
nontraffic,V46.2,,,code,0
nontraffic,V40.2,,,code,0
animal-drawn vehicle (traffic),V46.7,,,code,0
nontraffic,V46.2,,,code,0
bus (traffic),V44.7,,,code,0
nontraffic,V44.2,,,code,0
car (traffic),V43.72,,,code,0
nontraffic,V43.22,,,code,0
pedal cycle (traffic),V41.7,,,code,0
nontraffic,V41.2,,,code,0
pickup truck (traffic),V43.73,,,code,0
nontraffic,V43.23,,,code,0
railway vehicle (traffic),V45.7,,,code,0
nontraffic,V45.2,,,code,0
specified vehicle NEC (traffic),V46.7,,,code,0
nontraffic,V46.2,,,code,0
sport utility vehicle (traffic),V43.71,,,code,0
nontraffic,V43.21,,,code,0
stationary object (traffic),V47.7,,,code,0
nontraffic,V47.2,,,code,0
streetcar (traffic),V46.7,,,code,0
nontraffic,V46.2,,,code,0
three wheeled motor vehicle (traffic),V42.7,,,code,0
nontraffic,V42.2,,,code,0
truck (traffic),V44.7,,,code,0
nontraffic,V44.2,,,code,0
two wheeled motor vehicle (traffic),V42.7,,,code,0
nontraffic,V42.2,,,code,0
van (traffic),V43.74,,,code,0
nontraffic,V43.24,,,code,0
noncollision accident (traffic),V48.7,,,code,0
nontraffic,V48.2,,,code,0
animal (traffic),V40.6,,,code,0
being ridden (traffic),V46.6,,,code,0
nontraffic,V46.1,,,code,0
nontraffic,V40.1,,,code,0
animal-drawn vehicle (traffic),V46.6,,,code,0
nontraffic,V46.1,,,code,0
bus (traffic),V44.6,,,code,0
nontraffic,V44.1,,,code,0
car (traffic),V43.62,,,code,0
nontraffic,V43.12,,,code,0
motor vehicle NOS (traffic),V49.50,,,code,0
nontraffic,V49.10,,,code,0
specified type NEC (traffic),V49.59,,,code,0
nontraffic,V49.19,,,code,0
pedal cycle (traffic),V41.6,,,code,0
nontraffic,V41.1,,,code,0
pickup truck (traffic),V43.63,,,code,0
nontraffic,V43.13,,,code,0
railway vehicle (traffic),V45.6,,,code,0
nontraffic,V45.1,,,code,0
specified vehicle NEC (traffic),V46.6,,,code,0
nontraffic,V46.1,,,code,0
sport utility vehicle (traffic),V43.61,,,code,0
nontraffic,V43.11,,,code,0
stationary object (traffic),V47.6,,,code,0
nontraffic,V47.1,,,code,0
streetcar (traffic),V46.6,,,code,0
nontraffic,V46.1,,,code,0
three wheeled motor vehicle (traffic),V42.6,,,code,0
nontraffic,V42.1,,,code,0
truck (traffic),V44.6,,,code,0
nontraffic,V44.1,,,code,0
two wheeled motor vehicle (traffic),V42.6,,,code,0
nontraffic,V42.1,,,code,0
van (traffic),V43.64,,,code,0
nontraffic,V43.14,,,code,0
noncollision accident (traffic),V48.6,,,code,0
nontraffic,V48.1,,,code,0
specified type NEC,V49.88,,,code,0
military vehicle,V49.81,,,code,0
coal car,,"Accident, transport, industrial vehicle occupant",,see,0
construction vehicle occupant (nontraffic),V85.9,,,code,0
driver,V85.5,,,code,0
hanger-on,V85.7,,,code,0
passenger,V85.6,,,code,0
traffic,V85.3,,,code,0
driver,V85.0,,,code,0
hanger-on,V85.2,,,code,0
passenger,V85.1,,,code,0
while boarding or alighting,V85.4,,,code,0
dirt bike rider (nontraffic),V86.96,,,code,0
driver,V86.56,,,code,0
hanger-on,V86.76,,,code,0
passenger,V86.66,,,code,0
traffic,V86.36,,,code,0
driver,V86.06,,,code,0
hanger-on,V86.26,,,code,0
passenger,V86.16,,,code,0
while boarding or alighting,V86.46,,,code,0
due to cataclysm,,"Forces of nature, by type",,see,0
dune buggy occupant (nontraffic),V86.93,,,code,0
driver,V86.53,,,code,0
hanger-on,V86.73,,,code,0
passenger,V86.63,,,code,0
traffic,V86.33,,,code,0
driver,V86.03,,,code,0
hanger-on,V86.23,,,code,0
passenger,V86.13,,,code,0
while boarding or alighting,V86.43,,,code,0
e-bicycle,,"Accident, transport, electric (assisted) bicyclist",,see,0
e-bike,,"Accident, transport, electric (assisted) bicyclist",,see,0
electric (assisted) bicyclist,V29.91,,,code,0
animal (traffic),V20.91,,,code,0
being ridden (traffic),V26.91,,,code,0
nontraffic,V26.21,,,code,0
while boarding or alighting,V26.31,,,code,0
nontraffic,V20.21,,,code,0
while boarding or alighting,V20.31,,,code,0
animal-drawn vehicle (traffic),V26.91,,,code,0
nontraffic,V26.21,,,code,0
while boarding or alighting,V26.31,,,code,0
bus (traffic),V24.91,,,code,0
nontraffic,V24.21,,,code,0
while boarding or alighting,V24.31,,,code,0
car (traffic),V23.91,,,code,0
nontraffic,V23.21,,,code,0
while boarding or alighting,V23.31,,,code,0
motor vehicle NOS (traffic),V29.601,,,code,0
nontraffic,V29.201,,,code,0
specified type NEC (traffic),V29.691,,,code,0
nontraffic,V29.291,,,code,0
pedal cycle (traffic),V21.91,,,code,0
nontraffic,V21.21,,,code,0
while boarding or alighting,V21.31,,,code,0
pedestrian,V20.91,,,code,0
nontraffic,V20.01,,,code,0
while boarding or alighting,V20.31,,,code,0
pickup truck (traffic),V23.91,,,code,0
nontraffic,V23.21,,,code,0
while boarding or alighting,V23.31,,,code,0
railway vehicle (traffic),V25.91,,,code,0
nontraffic,V25.21,,,code,0
while boarding or alighting,V25.31,,,code,0
specified vehicle NEC (traffic),V26.91,,,code,0
nontraffic,V26.21,,,code,0
while boarding or alighting,V26.31,,,code,0
stationary object (traffic),V27.91,,,code,0
nontraffic,V27.21,,,code,0
while boarding or alighting,V27.31,,,code,0
streetcar (traffic),V26.91,,,code,0
nontraffic,V26.21,,,code,0
while boarding or alighting,V26.31,,,code,0
three wheeled motor vehicle (traffic),V22.91,,,code,0
